qa_id,question,gt_qa_id,gt_num,question_kg,answer_kg,model,qa_type,model_list,cat_name,sim_q_gt
ICASK202308090892,G10无法联网,ICWIKI202307246395,1,联网失败或连接超时或无法连接无法联网,"扫地机配网第一步失败：
1.引导用户确认好手机蓝牙正常开启状态
2.确认当前机器人处在配网模式，机器人配网指示灯处于蓝灯慢闪状态
3.确认当前位置权限是否开启，连接时如有app位置授权弹窗时需要点击允许

扫地机配网第二步失败：
1.询问用户手机系统情况，以及是否打开局域网权限，如果已经打开，建议尝试结束关闭APP尝试几次。如果没打开，建议用户打开再尝试（配网必须要改权限）。
2.苹果手机需额外查看手机本地网络权限设置为允许后进行尝试，操作路径：进入手机设置=》直接下滑找到Robo Rock  App点击进入=》打开本地网络开关
【小概率出现当前手机所连接家庭的wifi错误在第二步失败，可引导检查手机连接的是不是家里的wifi，连接的wifi是否正确，以及密码是否正确】

扫地机联网失败/扫地机联网第三步报错失败
请确认以下操作
【排查方式中部分步骤包含路由器设置相关内容，此类步骤需要提前问下用户是否了解路由器设置，如用户了解可继续进行排查，如果用户不了解引导用户联系一下了解路由器的家人/朋友帮忙排查一下，优先排查其他步骤】
1. WIFI的名称及密码有无特殊字符，最好为字母数字组合。
2. WIFI连接步骤是否正确，建议用户录制操作视频，通过查看视频是否有错误操作（WIFI热点列表中保存了扫地机热点；密码输入是否正确，区分大小写，有无空格）
3. 不支持无密码wifi网络，不支持5G网络
4.个别路由器需要配置成包含11n/ax mixed模式（混合模式）
5. 如路由器加密方式是wep，此加密方式安全级别较低，不支持； 修改为wpa/wpa 2 混合加密即可
6.使用另一台手机移动网络建立WIFI热点，尝试WIFI连接（建议更换几个不同的手机发送和连接热点进行尝试）
温馨提示：
1. wifi6路由器有11n/ax mixed模式（混合模式），推荐您打开此选项正常再尝试连接使用观察；
2. 同时建议检查加密方式，如为WPA3超强加密方式（WPA3为新一代加密技术,但选择该选项后部分设备可能会存在兼容性问题而无法接入。），则需要修改为WPA2或WPA2/WPA3","A10Ultra, A10, A10Plus, A10UltraE, P5, T7, T6, S5, T7Pro, T7S, T7SPlus, G10, G10Plus, T8, T8Plus, G10SPro, G10SAuto, G10S, G10SPure, P10上下水版, P10, G20上下水版, G20, G10S系列, P10Pro",APP及联网,"a10ultra,a10,a10plus,a10ultrae,p5,t7,t6,s5,t7pro,t7s,t7splus,g10,g10plus,t8,t8plus,g10spro,g10sauto,g10s,g10spure,p10上下水版,p10,g20上下水版,g20,g10s系列,p10pro","洗地机,洗地机,洗地机,洗地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机",0.65
ICASK202308090890,g20漏扫,ICWIKI202307243914,1,扫地机漏扫,"1，引导客户回忆使用前清扫区域存在未提前打开门或者中途进行了关闭，可以尝试开门后进行重新清洁观察
2，使用柔软干布擦拭一下黑色过门石及悬崖传感器及沿墙传感器后使用观察
3，APP显示为障碍物困住，可清除环境中障碍物，下次清扫可改善，后期注意观察使用
4，可以对落地镜进行遮挡，高度为15cm，进行使用观察
5，APP可以进行分区，进行观察使用","P5, S5, T6, T7, T7Pro, T7S, T7SPlus, G10, G10Plus, T8, T8Plus, G10SPro, G10SAuto, G10S, G10SPure, P10, G20, P10上下水版, G20上下水版, P10Pro",故障问题,"p5,s5,t6,t7,t7pro,t7s,t7splus,g10,g10plus,t8,t8plus,g10spro,g10sauto,g10s,g10spure,p10,g20,p10上下水版,g20上下水版,p10pro","扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机",0.62
ICASK202308090879,G10支持连接WIFI6吗,ICWIKI202307246731,1,是否支持wifi6功能路由器?wifi6怎么连接？,"您好，小石头支持wifi6路由器，个别路由器需要配置成包含11n/ax mixed模式(混合模式),温馨提示:1.wifi6路由器有11n/ax mixed模式(混合模式),推荐您打开此选项正常再尝试连接使用规察;2.同时建议检查加密方式,如为WPA3超强加密方式(WPA3为新一代加密技术,但选择该选项后部分设备可能会存在兼容性问题而无法接入。),则需要修改为
WPA2或WPA2/WPA3;上述两步确认好开保存,断电重白路由器连接观察看是否可以。","A10, A10Plus, U10, P5, S5, T6, T7, T7Pro, T7S, T7SPlus, G10, G10Plus, T8, T8Plus, G10SPro, G10SAuto, G10S, G10SPure, P10, G20, A10Ultra, A10UltraE, P10Pro",APP及联网,"a10,a10plus,u10,p5,s5,t6,t7,t7pro,t7s,t7splus,g10,g10plus,t8,t8plus,g10spro,g10sauto,g10s,g10spure,p10,g20,a10ultra,a10ultrae,p10pro","洗地机,洗地机,洗地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,洗地机,洗地机,扫地机",0.68
ICASK202308090876,G10 不能充电,ICWIKI202307243846,1,扫地机器人错误13充电异常/无法充电/充不上电,"需确认充电桩电源指示灯是否亮起
1，引导客户使用橡皮擦或柔软干布进行擦拭弹片和触片区域,，在使用观察
2，给充电桩断电2分钟，两分钟后在通电使用观察，
（注*需给充电桩断电，不是扫地机）
3，如未解决，引导客户提供报错时视频，进一步确认，
以上均未解决引导提供产品信息，售后返厂检测","P5, S5, T6, T7, T7Pro, T7S, T7SPlus, G10, G10Plus, T8, T8Plus, G10SPro, G10SAuto, G10S, G10SPure, P10, G20, P10上下水版, G20上下水版, P10Pro",故障问题,"p5,s5,t6,t7,t7pro,t7s,t7splus,g10,g10plus,t8,t8plus,g10spro,g10sauto,g10s,g10spure,p10,g20,p10上下水版,g20上下水版,p10pro","扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机",0.54
ICASK202308090869,G10回不了基站,ICWIKI202307246673,1,无法清洗拖布/回充失败/无法回充/不回基站,"您好，基座未通电会出现上述情况，确认基座指示灯是否亮起；
（1）如不亮，参考话术：
关于您咨询情况，初步判断电源线与基座没有安装好，建议您将电源线(""Z""标识对外)对准基座充电口后左右摇晃着用力插紧，插入后仅看到""Z""logo代表安装好，通电后基座指示灯常亮，扫地机进入充电状0态指示灯熄灭，请您放心使用！
注意：若用户询问怎么插线按照（1）回答。
（1）如白色常亮：
①针对无法回充问题，先请用户拍摄基座清洗槽照片，由客服帮忙判断清洁刷模组的位置，参考话术：
若清洁刷模组的位置不正确（即不在中间偏右的归中位位置，也不在左右两侧）——请您手动将清洁刷模组移动至最左端，并尝试让机器人重新回充观察确认；
注意：同时询问用户之前是否手动暂停了机器人的洗布过程（如：手动搬离或在App上点击暂停清洗）；
若清洁刷模组的位置正确（即在中间偏右的归中位位置，或是在左右两侧）——请您可以稍后将主机关机重启后放回基座前方约30cm处，点击回充观察确认；如充电桩附近障碍物较多，建议您使用前提前清理摆放整齐后使用观察，感谢您的支持和理解！
②针对无法回洗问题，参考话术：
请您可以稍后将主机关机重启后放回基座前方约30cm处，点击回洗观察确认；如充电桩附近障碍物较多，建议您使用前提前清理摆放整齐后使用观察，感谢您的支持和理解！
注意：如仍未解决则引导售后返厂维修；","G10SPure上下水版, G10S, G10SPro, G10SPure, G20, G20上下水版",故障问题,"g10spure上下水版,g10s,g10spro,g10spure,g20,g20上下水版","扫地机,扫地机,扫地机,扫地机,扫地机,扫地机",0.61
ICASK202308070819,p10上下水回洗不出水,ICWIKI202308090039,1,回洗完成拖布，发现拖布是干的？/回洗完拖布是干的/回洗不出水,"解决思路：
水箱版
1. 让客户检查下清水箱是否有水，及清水箱基座位置软胶塞是否在位。手动按压清水箱洗布观察看是否正常打湿拖布
2. 新机刚使用，可为用户补发一个清水箱，在用户收到清水箱后，更换新的清水箱后，再次回洗查看问题是否复现；
若未复现，建议用户正常使用即可
若仍复现，正常走售后流程即可
【参考话术】
        您好，您的问题我已了解，我这边会马上为您申请补发一个清水箱，在您收到新的清水箱之后，更换上新的清水箱后，再次命令机器人回洗，回洗完毕后，您再次查看该问题是否仍存在，若问题解决，您放心使用即可；若问题仍然存在，请您及时联系我们，我们为您申请售后，为此给您带来的不便，深表歉意！

（1）若已安装智能上下水套件：
①若套件指示灯为红色且每2S闪烁1次则为错误1套件缺水，引导用户排查是否为水源供水不畅的原因，如停水、清水三通阀开关关闭或进水管路漏水，或安装时接口处塞子未取下（同错误1排查步骤）；
②若套件指示灯熄灭，请按下套件顶部按键，若套件指示灯仍为熄灭状态，请查看套件是否正常通电（可以插拔电源尝试）；
③若按下按键后，套件指示灯白色呼吸闪烁，可继续使用一段时间后，观察上述现象是否仍出现；
④若仍出现，则需要将套件进行售后维修；",P10,故障问题,p10,扫地机,0.57
ICASK202308060761,G20 基座异常,ICWIKI202308090025,1,基站异常基座异常 错误原因：150 电磁阀异常，应如何处理？错误150/151/152/153/158/159,"您好，关于您描述当前遇到情况可以尝试将基座断电，拔掉电源线2min后再通电，继续清洗拖布使用观察。【温馨提示】如首次安装使用，推荐联网后更新扫地机固件版本再使用观察。
如上述方法解决，继续使用观察。
如未解决，需售后返厂检测进一步确认，CRM建单备注：基座异常150-电磁阀异常。
适配机型：G20系列
【拓展知识】
1.【基座异常】错误150/152/153/158,基座断电2min，重新通电观察，如未解决需售后返厂检测。
2. 【基座异常】错误151，重点引导更新固件版本后，重新启动烘干观察，正常可改善解决。
3.【基座异常】错误159，一方面基座断电2min，同时检查上下水和基座连接处Type-c线，安装到位后再通电观察。",G20,故障问题,g20,扫地机,0.58
ICASK202308060757,G20有上下水一键排空吗,ICWIKI202308090030,1,上下水套装一键排水功能在哪？/上下水自清洁功能在哪？/排水方式,"G20：您好，关于您咨询问题可以将扫地机连接App进入基座设置-上下水选项-点击<上下水自清洁>开始按钮，从而机器会从桩出发并回到基座做循环洗布动作。
G10S Pure/P10：在上下水水箱上按键进行排空水箱操作","G10SPure, P10, G20, P10Pro",常见问题,"g10spure,p10,g20,p10pro","扫地机,扫地机,扫地机,扫地机",0.64
ICASK202308050742,机器未找到基座回洗,ICWIKI202307243805,1,无法回洗/回洗失败/回洗异常/找不到基座,"1.引导客户检查按压坡道版两端与中间安装到位听到安装咔哒的声音为安装到位，未听到在重新安装下使用
*坡道板前端翘起，需具体查看客户实际情况
*坡道板前端无翘起，正常启动尝试
2检查扫地机抹布是否安装平整，整理后使用观察
3，检查主刷罩安装到位，可重新安装确保咔哒声响，在使用观察
4，检查拖布支架是否完全升起
*可把机器人立起，拍打拖布位置，查看是否有异物掉出，排出后可进行使用观察
*拍不出也可能存在粘性异物或其他问题，需返厂处理
5，把扫地机手动放回充电桩，长按回充键开始回洗，后期使用观察
6，如解决，则继续使用即可；
如未解决，引导客户提供故障时视频，进一步确认。
详细步骤参考飞书文档：G10S系列-回洗失败专辑
【拓展知识】
G20回洗失败，参考飞书文档连接：【G20】回洗失败-排查流程","G20, G10, G10Plus, G10SPro, G10SAuto, G10S, G10SPure",故障问题,"g20,g10,g10plus,g10spro,g10sauto,g10s,g10spure","扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机",0.79
ICASK202308040729,洗衣机衣物清洗不干净,ICWIKI202307243172,1,石头洗衣机没有将衣物上的污渍洗干净？衣物清洗不干净,"您好，石头分子筛洗烘一体机H1有多种衣物洗衣程序，请您按照衣物标签的建议并根据衣物材质选择适合的程序来洗涤，以达到最好的清洁效果。
如果您的衣物局部沾有：油渍、彩笔渍、衣领汗渍、血渍等特殊污渍，需要您提前手动清洗完局部污渍后再放入洗衣机内清洁，以达到最佳的洗涤效果。
如果衣物需要深度清洁，可根据衣物标签建议提高水温清洗，以达到最佳的洗涤效果。",H1,洗涤/脱水类问题,h1,洗衣机,0.79
ICASK202308040727,洗衣机E5,ICWIKI202307243872,1,洗衣机故障代码E5，故障描述变频器异常,"尝试动作：
连接APP配网，更新至最新版本。
拔电30秒后再插电尝试启动运行。
故障判断：
以上操作未解决，则安排售后上门，可能是变频板、DD电机故障。","H1, H1Neo",故障问题,"h1,h1neo","洗衣机,洗衣机",0.72
ICASK202308030715,G20不集尘,ICWIKI202307244373,1,为什么扫地机清扫结束没有自动集尘？,"您好，若扫地机不能自动集尘，请按照以下操作排查：
（1）扫地机在勿扰模式期间不会主动集尘，请您检查一下「设置页」-「更多功能设置」页面是否开启了勿扰模式，您可以在「生效范围」修改勿扰模式期间扫地机设置。
（2）集尘桶和尘袋是否安装到位，尘袋是否达到容量上限","G10S, G10SPro, G10SPure, G20, G10SPure上下水版, G20上下水版, P10, P10上下水版, P10Pro",日常使用,"g10s,g10spro,g10spure,g20,g10spure上下水版,g20上下水版,p10,p10上下水版,p10pro","扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机",0.49
ICASK202308030714,wifi6怎么连接,ICWIKI202307246731,1,是否支持wifi6功能路由器?wifi6怎么连接？,"您好，小石头支持wifi6路由器，个别路由器需要配置成包含11n/ax mixed模式(混合模式),温馨提示:1.wifi6路由器有11n/ax mixed模式(混合模式),推荐您打开此选项正常再尝试连接使用规察;2.同时建议检查加密方式,如为WPA3超强加密方式(WPA3为新一代加密技术,但选择该选项后部分设备可能会存在兼容性问题而无法接入。),则需要修改为
WPA2或WPA2/WPA3;上述两步确认好开保存,断电重白路由器连接观察看是否可以。","A10, A10Plus, U10, P5, S5, T6, T7, T7Pro, T7S, T7SPlus, G10, G10Plus, T8, T8Plus, G10SPro, G10SAuto, G10S, G10SPure, P10, G20, A10Ultra, A10UltraE, P10Pro",APP及联网,"a10,a10plus,u10,p5,s5,t6,t7,t7pro,t7s,t7splus,g10,g10plus,t8,t8plus,g10spro,g10sauto,g10s,g10spure,p10,g20,a10ultra,a10ultrae,p10pro","洗地机,洗地机,洗地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,洗地机,洗地机,扫地机",0.8
ICASK202308030713,G10无法清洗拖布，请清理基座附近障碍物,ICWIKI202307246672,1,无法清洗拖布/回充失败/无法回充/不回基站,"您好，基座未通电会出现上述情况，确认基座指示灯是否亮起；
（1）如不亮，参考话术：
关于您咨询情况，初步判断电源线与基座没有安装好，建议您将电源线对准基座充电口后左右摇晃着用力插紧，通电后基座指示灯常亮，扫地机进入充电状态指示灯熄灭，请您放心使用！
注意：若用户询问怎么插线按照（1）回答。
（2）如白色常亮：
a.请您确认基座底板和清洗盘是否安装到位，可以拍照确认状态；
b.请您检查拖布是否安装到位，如拖布翘起或偏位，请对位安装后用力压紧拖布；
c.请您检查主刷罩是否安装到位；（可拍摄底部照片帮助用户确认状态）
d.基座摆放位置是否合适？基座左右和前方需要预留回充距离，可以拍摄视频确认。

注意：如仍未解决则引导售后返厂维修。","P10, P10上下水版, P10Pro",故障问题,"p10,p10上下水版,p10pro","扫地机,扫地机,扫地机",0.67
ICASK202308030676,G10S Pure集尘不干净,ICWIKI202307243898,1,集尘效果差或集尘不干净,"1，查看集尘入尘口，将集入尘口垃圾清理干净后，风道通畅后，再次使用集尘观察
2，取下主刷主刷罩及边刷清理干净无异物，主机放到充电桩前方30cm处，按回充键自动回到充电桩后选择手动集尘进行使用观察
3，长时间集尘效果不佳建议客户此次可手动进行清理后进行自动集尘
*客户可在APP打开自动集尘，提高集尘频率，减少集尘效果减弱
*建议清理或更换尘盒滤网后，再次集尘查看
*潮湿黏贴等垃圾建议客户人工进行清理后使用查看
*地面有水请勿清扫，避免造成潮湿
4，以上问题均排查后，仍效果不佳，APP有四种挡位，可以引导用户切换超强挡位进行尝试观察
5，如解决，则继续使用即可；
未解决，引导客户提供报错时照片或视频，进一步确认

*P10默认一种集尘方式，不支持修改，默认15s。","P10, P10上下水版, P5, S5, T6, T7, T7Pro, T7S, T7SPlus, G10, G10Plus, T8, T8Plus, G10SPro, G10SAuto, G10S, G10SPure, G20上下水版, G20, P10Pro",故障问题,"p10,p10上下水版,p5,s5,t6,t7,t7pro,t7s,t7splus,g10,g10plus,t8,t8plus,g10spro,g10sauto,g10s,g10spure,g20上下水版,g20,p10pro","扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机",0.7
ICASK202308010587,G10S报错23,ICWIKI202307260012,1,错误23——回充失败，请清理充电座信号发射区，并重新插拔电源确认接触良好,您好，建议您擦拭基站的信号发射区域，并重新插拔电源，基座再次通电后，将机器人放回充电座，点击开始清扫，让机器人从桩出发清扫3-5分钟后，再次点击回充，查看机器人是否能够正常回充。,"P5, S5, T6, T7, T7Pro, T7S, T7SPlus, G10, G10Plus, T8, T8Plus, G10SPro, G10SAuto, G10S, G10SPure, P10, G20, P10上下水版, G20上下水版, P10Pro",故障问题,"p5,s5,t6,t7,t7pro,t7s,t7splus,g10,g10plus,t8,t8plus,g10spro,g10sauto,g10s,g10spure,p10,g20,p10上下水版,g20上下水版,p10pro","扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机",0.61
ICASK202308010583,能洗多少衣服（洗涤容量）,ICWIKI202307243975,1,洗衣机可以洗多少衣服或洗衣机的洗涤容量是多少？能洗多少件衣物？,"衣物薄厚大小不一致，没有具体件数的限制哦。H1最多支持12公斤衣物洗涤，不仅适合多人口家庭使用，更支持放入四件套和窗帘等大件家纺及羊毛真丝等高端衣物的洗烘，实现真正的低温烘干护衣。
注：H1洗涤容量12kg，烘干容量7kg；特定程序如，羊毛洗烘&真丝洗烘推荐1kg及以下，空气洗推荐3kg及以下",H1,产品参数,h1,洗衣机,0.85
ICASK202308010582,是否需要一致插电,ICWIKI202308210081,1,扫地机是否需要一直插电或一直充电？,"您好，您可以根据使用频率进行选择，
如经常使用可一直插电机器人在不工作的时候耗电量极低，为了保证电池处于最佳性能，请平时不使用时也尽量让机器人在充电座上不断电。
如长时间不用时请充满电，放置在阴凉干燥处，避免温度过高或过低，并每隔3个月充电一次，避免电量过低，影响电池寿命。","P5, S5, T6, T7, T7Pro, T7S, T7SPlus, G10, G10Plus, T8, T8Plus, G10SPro, G10SAuto, G10S, G10SPure, P10, G20, P10上下水版, G20上下水版, A10, A10Plus, U10, A10Ultra, A10UltraE, P10Pro",日常使用,"p5,s5,t6,t7,t7pro,t7s,t7splus,g10,g10plus,t8,t8plus,g10spro,g10sauto,g10s,g10spure,p10,g20,p10上下水版,g20上下水版,a10,a10plus,u10,a10ultra,a10ultrae,p10pro","扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,洗地机,洗地机,洗地机,洗地机,洗地机,扫地机",0.59
